IDENTITE_OPERATEUR;CODE_OPERATEUR;SIRET_ACTEUR;RCS_ACTEUR;ADRESSE_COMPLETE_ACTEUR;BESOIN_RES_NUM;DATE_DECLARATION_OPERATEUR
Haute-Garonne numérique;HGNU;20006262800017; ;BATIMENT C 1 BOULEVARD DE LA MARQUETTE  31090 TOULOUSE   ;1;23/04/2018 00:00
Hautes-Pyrénées Numérique;HPNU;52032613300011;Versailles; 1 AVENUE EUGENE FREYSSINET  78280 GUYANCOURT   ;1;29/03/2010 00:00
Hawkix SI;HWKX;51974650700028;Caen; 20 RUE DU CHEMIN VERT  14400 BAYEUX   ;0;28/06/2022 00:00
HB7;HB07;75177282300017;Marseille;CENTRE ETOILE VALENTINE 20 TRAVERSE DE LA MONTRE  13011 MARSEILLE   ;0;09/02/2016 00:00
HEAPSYS;HEAP;44316376100036;NANTES; 42 RUE LA TOUR D'AUVERGNE  44200 NANTES   ;0;25/06/2013 00:00
HEConcept;HECP;80104795200016;Thionville; 71 RUE PRESIDENT ROOSEVELT  57970 YUTZ   ;0;16/01/2017 00:00
HELIANTIS;HELI;39274760600029;Pau;TECHNOPOLE HELIOPARC 2 AV DU PDT PIERRE ANGOT  64053 PAU  CEDEX 9 ;0;21/01/2008 00:00
Hello pro;HELP;84005662600012;Paris; 128 RUE DE LA BOETIE  75008 PARIS   ;0;19/09/2019 00:00
Hérault THD;DSPT;82511788000021;Nanterre;IMMEUBLE CRISCO UNO 3-5-7 AVENUE DE LA CRISTALLERIE  92310 SEVRES   ;0;22/12/2017 00:00
Hexacom opérateur;HEOM;51510016200020;Bobigny; 2-6 AVENUE HENRI BARBUSSE  93000 BOBIGNY   ;0;08/06/2016 00:00
Hexanet;HEXA;48755568200011;Beauvais; AV DES CENSIVES  60000 TILLE   ;1;10/10/2006 00:00
Hexatel;HETE;52325276500129;Rennes;PARC D ACTIVITES DES VENTS D OUEST 2 RUE ALAIN COLAS  35530 NOYAL-SUR-VILAINE   ;1;17/04/2012 00:00
Hexawin sud-est;HXSE;79109162200013;Salon; 1111 AVENUE VICTOR HUGO  13122 VENTABREN   ;0;16/06/2021 00:00
Hezen;HEZN;90048143300010;900481433; 6 RUE D ARMAILLE  75017 PARIS   ;0;25/10/2021 00:00
High com;HICO;85274843300012;Marseille;IMMEUBLE QUANTA 60 AVENUE ANDRE ROUSSIN  13016 MARSEILLE   ;0;27/11/2019 00:00
High connexion;HIGH;50253979400052;Lyon; 9 AVENUE DES SAULES  69600 OULLINS   ;1;22/03/2010 00:00
High Tech-Ouest;HIOU;52880458600014;Nantes; 20 RUE DES PERRINES  44300 NANTES   ;1;23/02/2012 00:00
Hipay;EURV;39033422500096;Paris; 94 RUE DE VILLIERS  92300 LEVALLOIS-PERRET   ;0;16/11/2004 00:00
Hipcom;HIPC;48179705800049;Grenoble; 8/10 RUE DE MAYENCIN  38400 SAINT-MARTIN-D'HERES   ;0;04/02/2014 00:00
HI-TECH DEPANNE;HITE;51033825400020;NARBONNE; 16 RUE BAUDIN  11100 NARBONNE   ;0;21/05/2013 00:00
Holding 123 media corp;MDIA;52770259100019;AGEN; 10 RUE DES ARENES  47700 CASTELJALOUX   ;1;13/08/2013 00:00
Hosteur;ABCO;44500581200042;Aix; 67 COURS MIRABEAU  13100 AIX-EN-PROVENCE   ;0;07/03/2023 00:00
HP3I;HP3I;47966162100025;Versailles;LOTISSEMENT 16 3 RUE DE LA CROISEE VERTE  78240 CHAMBOURCY   ;0;02/07/2018 00:00
HR telecoms;HRTE;78925674000034;Caen; 8 RUE DES BOURRELIERS  14123 IFS   ;0;07/12/2017 00:00
Hub One;HUBT;43794766600131;BOBIGNY;MERCURE CONTINENTAL SQUARE 1 2 PLACE DE LONDRES  93290 TREMBLAY-EN-FRANCE   ;1;03/07/2001 00:00
I agility;IAGI;81754265700025;Paris; 20 RUE LOUIS ARMAND  75015 PARIS   ;1;15/03/2016 00:00
I2TConnect;I2TC;88767797900015;Castres; 79 AVENUE DE CASTRES  81210 ROQUECOURBE   ;0;30/07/2020 00:00
IAF;IAFR;51356905300038;Bobigny; 27 RUE ALFRED NOBEL  77420 CHAMPS-SUR-MARNE   ;0;14/09/2017 00:00
iBASIS France;SFRI;83857867200035;PARIS; 112 AVENUE KLEBER  75116 PARIS   ;1;03/07/2018 00:00
Ibatys;IBAT;89258501900011;Douai;APT 16 109 LEFEBRE D ORVAL  59500 DOUAI   ;0;20/10/2022 00:00
Ibrowse;IBRO;49371219400031;Paris; 15 RUE MARSOLLIER  75002 PARIS   ;1;10/05/2007 00:00
Icone;ICNE;39851886000083;Salon-de-Provence;ZA L ANJOLY 92 BOULEVARD DE L EUROPE  13127 VITROLLES   ;0;04/03/2019 00:00
ICS;ICS0;53368084900015;MARSEILLE; 19/21 BOULEVARD TELLENE  13007 MARSEILLE   ;0;02/09/2016 00:00
Id 3000;ID30;43249443300019;NICE; 34 RUE AUGUSTE GAL  06300 NICE   ;0;09/07/2021 00:00
Id2son;ID2S;81850361700024;Lyon;IMMEUBLE LE 380 30 RUE MARGUERITE  69100 VILLEURBANNE   ;0;16/12/2019 00:00
IDCI Réseau;IDCI;88930269100015;VALENCE; 297 CHEMIN DU GRAND VALLAT  26790 SUZE LA ROUSSE   ;0;10/01/2023 00:00
Ideal solutions;IDNS;83769905700019;Chalon-sur-Saône; 12 RUE ALFRED KASTLER  71530 FRAGNES-LA-LOYERE   ;0;27/02/2018 00:00
Idelio;3620;44934608900021;Nantes; 25 AVENUE DE LA VERTONNE  44120 VERTOU   ;1;29/12/2004 00:00
IDENOVIA;IDEN;53039958300018;STRASBOURG; 48A ALLEE DE LA ROBERTSAU  67000 STRASBOURG   ;0;16/10/2012 00:00
Idi informatique;IDIE;80188045100019;Poitiers; 31 BIS RUE GAMBETTA  86190 VOUILLE   ;0;29/11/2019 00:00
Idinfo;IDIN;84818112900018;Besançon;ZA LES BANARDES 2 RUE DU PRELOT  25800 VALDAHON   ;0;14/01/2020 00:00
Idline;INPC;41167897200026;Poitiers;ZIN 3 86 AVENUE MARYSE BASTIE BP 90150 16340 L'ISLE D'ESPAGNAC  CEDEX ;1;25/01/2007 00:00
Idom technologies;IDOM;44277104400041;Saint Denis;TECHNOPOLE REUNION - STE CLOTILDE 7 RUE HENRI CORNU  97490 SAINT-DENIS   ;1;23/06/2006 00:00
Ielo-liazo services;LIAZ;51754198300055;Paris; 50 TER RUE DE MALTE  75011 PARIS   ;0;14/08/2012 00:00
Ifalou;IFAL;49005023400023;Alençon; 9 RUE DE L EGLISE - LONGNY AU PERCHE  61290 LONGNY LES VILLAGES   ;0;31/08/2021 00:00
IFN.com Inc. dba ;IFNC; ;Los Angeles, California, USA; 13005 ARTESIA BOULEVARD  90703 CERRITOS CA  ETATS-UNIS;0;31/10/2022 00:00
Igwan.net;IGWA; ;W751212717 ASSO St-Barthélémy; GRAND CUL-DE-SAC BP 1302 97020 SAINT-BARTHELEMY  CEDEX ;0;09/02/2012 00:00
iHub 2 Ltd;IHUB; ; 09626588 London United Kingdom;ARENA BUSINESS CENTRE 282 FARNBOROUGH ROAD  GU14 7NA FARNBOROUGH   ROYAUME-UNI;1;22/06/2023 00:00
Ikacom ;IKAC;82452449000011;Paris; 6 RUE DE MUSSET  75016 PARIS   ;1;16/03/2017 00:00
Iko-solutions;IKOI;52357671800036;Lyon; 58 CHEMIN DE LA BRUYERE  69570 DARDILLY   ;0;16/02/2018 00:00
IKOULA NET;IKOU;41768061800036;Nanterre; 175 RUE D AGUESSEAU  92100 BOULOGNE BILLANCOURT   ;0;12/09/2007 00:00
Imereos;IMRS;53435925200036;Toulouse; 3 RUE APOLLO  31240 L'UNION   ;0;25/08/2022 00:00
Imp-360;I360;41770517500046;Pontoise;ZAC DU MOULIN 2 RUE DU NOYER - BAT A1 CS 17328 95705 ROISSY EN FRANCE  CEDEX 1 ;0;16/07/2021 00:00
IMS dynamics;IMSD;80480800400027;Créteil; 1 AVENUE DE CLUNY  94100 SAINT-MAUR-LES-FOSSES   ;1;05/11/2014 00:00
IMS Networks;IMSN;81403085400016;Castres; 9 AVENUE DE LA MONTAGNE NOIRE  81100 CASTRES   ;0;05/01/2016 00:00
IMS partners;IMSP;48841135600063;Mulhouse; 6 RUE DANIEL SCHOEN  68200 MULHOUSE   ;0;07/02/2017 00:00
in2com Limited;IN2T; ;Company Registration Number 397657. Companies Registration Office, Dublin, Ireland; UNIT 12 VIRGINIA SHOPPING CENTRE  AB2 EW0 VIRGINIA   IRLANDE;0;12/01/2023 00:00
inContact;INCT; ;7640368; 10 JOHN STREET  WC1N 2EB LONDON   ROYAUME-UNI;0;18/06/2013 00:00
InContact Inc.;INCO; ;5243339-0143;TOWER 1 75 WEST TOWNE RIDGE PARKWAY  UT 84070 SANDY UTAH  ETATS-UNIS;0;31/12/2022 00:00
Ineo Défense;INED;32345997400073; ;INOVEL PARC SUD 23 RUE GENERAL VALERIE ANDRE CS 80526 78457 VELIZY VILLACOUBLAY   ;0;26/07/2016 00:00
INEONET;INEO;45115286200038;Foix; PARC T DELTA SUD  09340 VERNIOLLE   ;0;19/01/2011 00:00
Infinity bureautique;INFB;49799022600035;Aubenas; 115 RUE GUSTAVE EIFFEL  07500 GUILHERAND GRANGES   ;0;27/02/2023 00:00
Infinity telecom;ITPH;79365528300018;PARIS;C/O MGT-JYN 32 BOULEVARD DE VAUGIRARD  75015 PARIS   ;1;21/06/2013 00:00
Infinity tracking Ltd;TRCK; ;07192131 (https://find-and-update.company-information.service.gov.uk/company/07192131);LONDON COURT 39 LONDON ROAD  RH2 9AQ REIGATE   ROYAUME-UNI;1;07/11/2022 00:00
Infinivox;INOX;84878686900018;Lille Métropole; 23 RUE GUILLAUME WERNIERS  59800 LILLE   ;0;23/11/2020 00:00
Infocom racc;NFCR;84293190900019;Narbonne; 10 AVENUE DE TOULOUSE  11100 NARBONNE   ;0;14/11/2022 00:00
Infoconfig;INIG;51071367000022;Marseille; 248 AVENUE DE SAINT ANTOINE  13015 MARSEILLE   ;0;21/06/2017 00:00
Infoline;INNE;53334768800012;Paris; 33 AVENUE DU MARECHAL FAYOLLE  43200 YSSINGEAUX   ;1;12/11/2014 00:00
Infomotiv;INIV;52015878300032;Nice;RESIDENCE HOME 2 124 AVENUE LEON BERENGER  06700 SAINT-LAURENT-DU-VAR   ;0;09/01/2015 00:00
Informeo;NFRM;53368198700012;ALBI; 13 CHEMIN DE RANTEIL  81000 ALBI   ;0;08/09/2023 00:00
Infotelecom;INLE;45214630100042;Perpignan; 6 RUE CHARLES FABRY  66000 PERPIGNAN   ;0;21/11/2017 00:00
